event_name,bout,round,fighter_name,knockdowns,sig_str,sig_str_pct,total_str,takedowns,takedown_pct,submission_attempts,reversals,control_time,head_str,body_str,leg_str,distance_str,clinch_str,ground_str,round_number,sig_str_pct_num,takedown_pct_num,control_seconds,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,takedowns_landed,takedowns_attempted,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 1,Arnold Allen,1.0,9 of 9,100%,18 of 20,2 of 2,100%,0.0,0.0,1:44,8 of 8,0 of 0,1 of 1,4 of 4,0 of 0,5 of 5,1,100.0,100.0,104,9,9,18,20,2,2,8,8,0,0,1,1,4,4,0,0,5,5
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 2,Arnold Allen,0.0,23 of 38,60%,28 of 44,0 of 0,,0.0,0.0,0:36,16 of 31,2 of 2,5 of 5,23 of 38,0 of 0,0 of 0,2,60.0,,36,23,38,28,44,0,0,16,31,2,2,5,5,23,38,0,0,0,0
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 3,Arnold Allen,0.0,32 of 52,61%,44 of 66,0 of 0,,0.0,0.0,1:22,27 of 47,2 of 2,3 of 3,25 of 45,0 of 0,7 of 7,3,61.0,,82,32,52,44,66,0,0,27,47,2,2,3,3,25,45,0,0,7,7
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 4,Arnold Allen,0.0,23 of 36,63%,26 of 41,1 of 1,100%,0.0,0.0,1:43,20 of 33,1 of 1,2 of 2,23 of 35,0 of 1,0 of 0,4,63.0,100.0,103,23,36,26,41,1,1,20,33,1,1,2,2,23,35,0,1,0,0
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 5,Arnold Allen,0.0,11 of 17,64%,40 of 51,4 of 4,100%,0.0,0.0,4:03,10 of 15,1 of 2,0 of 0,4 of 9,0 of 1,7 of 7,5,64.0,100.0,243,11,17,40,51,4,4,10,15,1,2,0,0,4,9,0,1,7,7
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 1,Melquizael Costa,0.0,10 of 14,71%,19 of 25,0 of 2,0%,0.0,0.0,1:45,5 of 8,3 of 3,2 of 3,7 of 11,0 of 0,3 of 3,1,71.0,0.0,105,10,14,19,25,0,2,5,8,3,3,2,3,7,11,0,0,3,3
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 2,Melquizael Costa,0.0,26 of 78,33%,28 of 81,0 of 0,,0.0,0.0,0:00,8 of 49,5 of 14,13 of 15,26 of 78,0 of 0,0 of 0,2,33.0,,0,26,78,28,81,0,0,8,49,5,14,13,15,26,78,0,0,0,0
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 3,Melquizael Costa,0.0,30 of 71,42%,30 of 72,0 of 1,0%,0.0,0.0,0:00,14 of 49,7 of 13,9 of 9,30 of 71,0 of 0,0 of 0,3,42.0,0.0,0,30,71,30,72,0,1,14,49,7,13,9,9,30,71,0,0,0,0
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 4,Melquizael Costa,0.0,23 of 63,36%,24 of 67,0 of 0,,0.0,0.0,0:00,10 of 41,4 of 11,9 of 11,23 of 63,0 of 0,0 of 0,4,36.0,,0,23,63,24,67,0,0,10,41,4,11,9,11,23,63,0,0,0,0
UFC Fight Night: Allen vs. Costa,Arnold Allen vs. Melquizael Costa,Round 5,Melquizael Costa,0.0,11 of 28,39%,17 of 35,0 of 1,0%,0.0,0.0,0:00,10 of 26,1 of 1,0 of 1,11 of 26,0 of 1,0 of 1,5,39.0,0.0,0,11,28,17,35,0,1,10,26,1,1,0,1,11,26,0,1,0,1
UFC Fight Night: Allen vs. Costa,Dooho Choi vs. Daniel Santos,Round 1,Dooho Choi,0.0,28 of 59,47%,29 of 60,0 of 0,,0.0,0.0,0:01,20 of 51,6 of 6,2 of 2,26 of 57,2 of 2,0 of 0,1,47.0,,1,28,59,29,60,0,0,20,51,6,6,2,2,26,57,2,2,0,0
UFC Fight Night: Allen vs. Costa,Dooho Choi vs. Daniel Santos,Round 2,Dooho Choi,1.0,44 of 79,55%,50 of 85,0 of 0,,0.0,0.0,0:10,36 of 71,7 of 7,1 of 1,41 of 76,1 of 1,2 of 2,2,55.0,,10,44,79,50,85,0,0,36,71,7,7,1,1,41,76,1,1,2,2
UFC Fight Night: Allen vs. Costa,Dooho Choi vs. Daniel Santos,Round 1,Daniel Santos,0.0,47 of 106,44%,48 of 109,0 of 4,0%,0.0,0.0,0:12,35 of 89,12 of 16,0 of 1,40 of 97,7 of 9,0 of 0,1,44.0,0.0,12,47,106,48,109,0,4,35,89,12,16,0,1,40,97,7,9,0,0
UFC Fight Night: Allen vs. Costa,Dooho Choi vs. Daniel Santos,Round 2,Daniel Santos,0.0,25 of 76,32%,26 of 77,0 of 2,0%,0.0,0.0,0:42,19 of 67,3 of 6,3 of 3,24 of 75,1 of 1,0 of 0,2,32.0,0.0,42,25,76,26,77,0,2,19,67,3,6,3,3,24,75,1,1,0,0
UFC Fight Night: Allen vs. Costa,Malcolm Wellmaker vs. Juan Diaz,Round 1,Malcolm Wellmaker,0.0,10 of 23,43%,10 of 24,0 of 0,,0.0,0.0,0:00,1 of 6,7 of 14,2 of 3,9 of 22,1 of 1,0 of 0,1,43.0,,0,10,23,10,24,0,0,1,6,7,14,2,3,9,22,1,1,0,0
UFC Fight Night: Allen vs. Costa,Malcolm Wellmaker vs. Juan Diaz,Round 2,Malcolm Wellmaker,0.0,5 of 10,50%,5 of 10,0 of 0,,0.0,0.0,0:00,2 of 5,2 of 4,1 of 1,5 of 10,0 of 0,0 of 0,2,50.0,,0,5,10,5,10,0,0,2,5,2,4,1,1,5,10,0,0,0,0
UFC Fight Night: Allen vs. Costa,Malcolm Wellmaker vs. Juan Diaz,Round 1,Juan Diaz,0.0,6 of 16,37%,9 of 19,2 of 4,50%,0.0,0.0,1:28,2 of 7,2 of 2,2 of 7,4 of 13,1 of 2,1 of 1,1,37.0,50.0,88,6,16,9,19,2,4,2,7,2,2,2,7,4,13,1,2,1,1
UFC Fight Night: Allen vs. Costa,Malcolm Wellmaker vs. Juan Diaz,Round 2,Juan Diaz,0.0,7 of 9,77%,9 of 13,3 of 4,75%,1.0,0.0,2:20,1 of 2,1 of 1,5 of 6,6 of 8,1 of 1,0 of 0,2,77.0,75.0,140,7,9,9,13,3,4,1,2,1,1,5,6,6,8,1,1,0,0
UFC Fight Night: Allen vs. Costa,Modestas Bukauskas vs. Christian Edwards,Round 1,Modestas Bukauskas,0.0,10 of 29,34%,19 of 38,0 of 0,,0.0,0.0,0:00,4 of 22,4 of 5,2 of 2,8 of 27,2 of 2,0 of 0,1,34.0,,0,10,29,19,38,0,0,4,22,4,5,2,2,8,27,2,2,0,0
UFC Fight Night: Allen vs. Costa,Modestas Bukauskas vs. Christian Edwards,Round 2,Modestas Bukauskas,0.0,16 of 28,57%,18 of 32,0 of 0,,0.0,0.0,2:15,14 of 26,1 of 1,1 of 1,15 of 27,1 of 1,0 of 0,2,57.0,,135,16,28,18,32,0,0,14,26,1,1,1,1,15,27,1,1,0,0
UFC Fight Night: Allen vs. Costa,Modestas Bukauskas vs. Christian Edwards,Round 3,Modestas Bukauskas,0.0,10 of 23,43%,15 of 29,0 of 0,,0.0,0.0,0:00,3 of 16,5 of 5,2 of 2,7 of 20,3 of 3,0 of 0,3,43.0,,0,10,23,15,29,0,0,3,16,5,5,2,2,7,20,3,3,0,0
UFC Fight Night: Allen vs. Costa,Modestas Bukauskas vs. Christian Edwards,Round 1,Christian Edwards,0.0,11 of 30,36%,20 of 40,0 of 2,0%,0.0,0.0,1:47,2 of 16,6 of 8,3 of 6,9 of 27,2 of 3,0 of 0,1,36.0,0.0,107,11,30,20,40,0,2,2,16,6,8,3,6,9,27,2,3,0,0
UFC Fight Night: Allen vs. Costa,Modestas Bukauskas vs. Christian Edwards,Round 2,Christian Edwards,0.0,11 of 22,50%,11 of 22,0 of 0,,0.0,0.0,0:08,3 of 12,7 of 8,1 of 2,7 of 18,4 of 4,0 of 0,2,50.0,,8,11,22,11,22,0,0,3,12,7,8,1,2,7,18,4,4,0,0
UFC Fight Night: Allen vs. Costa,Modestas Bukauskas vs. Christian Edwards,Round 3,Christian Edwards,0.0,14 of 19,73%,20 of 27,0 of 2,0%,0.0,0.0,2:27,8 of 13,4 of 4,2 of 2,11 of 16,3 of 3,0 of 0,3,73.0,0.0,147,14,19,20,27,0,2,8,13,4,4,2,2,11,16,3,3,0,0
UFC Fight Night: Allen vs. Costa,Timmy Cuamba vs. Benardo Sopaj,Round 1,Timmy Cuamba,0.0,20 of 60,33%,20 of 60,0 of 0,,0.0,0.0,0:08,7 of 40,6 of 9,7 of 11,20 of 60,0 of 0,0 of 0,1,33.0,,8,20,60,20,60,0,0,7,40,6,9,7,11,20,60,0,0,0,0
UFC Fight Night: Allen vs. Costa,Timmy Cuamba vs. Benardo Sopaj,Round 2,Timmy Cuamba,0.0,9 of 20,45%,9 of 20,0 of 0,,0.0,0.0,0:03,5 of 14,3 of 4,1 of 2,9 of 20,0 of 0,0 of 0,2,45.0,,3,9,20,9,20,0,0,5,14,3,4,1,2,9,20,0,0,0,0
UFC Fight Night: Allen vs. Costa,Timmy Cuamba vs. Benardo Sopaj,Round 1,Benardo Sopaj,0.0,11 of 20,55%,17 of 28,1 of 2,50%,1.0,0.0,0:52,9 of 18,0 of 0,2 of 2,11 of 20,0 of 0,0 of 0,1,55.0,50.0,52,11,20,17,28,1,2,9,18,0,0,2,2,11,20,0,0,0,0
UFC Fight Night: Allen vs. Costa,Timmy Cuamba vs. Benardo Sopaj,Round 2,Benardo Sopaj,1.0,26 of 36,72%,49 of 64,0 of 1,0%,1.0,0.0,1:02,25 of 35,0 of 0,1 of 1,3 of 12,0 of 0,23 of 24,2,72.0,0.0,62,26,36,49,64,0,1,25,35,0,0,1,1,3,12,0,0,23,24
UFC Fight Night: Allen vs. Costa,Nikolay Veretennikov vs. Khaos Williams,Round 1,Nikolay Veretennikov,0.0,13 of 25,52%,20 of 33,0 of 0,,0.0,0.0,0:00,8 of 19,3 of 4,2 of 2,12 of 23,1 of 2,0 of 0,1,52.0,,0,13,25,20,33,0,0,8,19,3,4,2,2,12,23,1,2,0,0
UFC Fight Night: Allen vs. Costa,Nikolay Veretennikov vs. Khaos Williams,Round 1,Khaos Williams,1.0,21 of 56,37%,36 of 73,0 of 0,,0.0,0.0,0:54,9 of 35,7 of 9,5 of 12,20 of 52,1 of 4,0 of 0,1,37.0,,54,21,56,36,73,0,0,9,35,7,9,5,12,20,52,1,4,0,0
UFC Fight Night: Allen vs. Costa,Tuco Tokkos vs. Ivan Erslan,Round 1,Tuco Tokkos,0.0,40 of 84,47%,42 of 86,0 of 3,0%,1.0,0.0,1:09,30 of 72,5 of 7,5 of 5,39 of 83,1 of 1,0 of 0,1,47.0,0.0,69,40,84,42,86,0,3,30,72,5,7,5,5,39,83,1,1,0,0
UFC Fight Night: Allen vs. Costa,Tuco Tokkos vs. Ivan Erslan,Round 2,Tuco Tokkos,0.0,10 of 25,40%,11 of 26,0 of 2,0%,0.0,0.0,0:00,8 of 21,1 of 3,1 of 1,9 of 23,1 of 2,0 of 0,2,40.0,0.0,0,10,25,11,26,0,2,8,21,1,3,1,1,9,23,1,2,0,0
UFC Fight Night: Allen vs. Costa,Tuco Tokkos vs. Ivan Erslan,Round 3,Tuco Tokkos,0.0,4 of 14,28%,4 of 14,0 of 1,0%,0.0,0.0,0:00,2 of 7,2 of 6,0 of 1,4 of 14,0 of 0,0 of 0,3,28.0,0.0,0,4,14,4,14,0,1,2,7,2,6,0,1,4,14,0,0,0,0
UFC Fight Night: Allen vs. Costa,Tuco Tokkos vs. Ivan Erslan,Round 1,Ivan Erslan,0.0,25 of 40,62%,42 of 59,0 of 0,,0.0,0.0,1:05,24 of 39,1 of 1,0 of 0,20 of 32,4 of 6,1 of 2,1,62.0,,65,25,40,42,59,0,0,24,39,1,1,0,0,20,32,4,6,1,2
UFC Fight Night: Allen vs. Costa,Tuco Tokkos vs. Ivan Erslan,Round 2,Ivan Erslan,0.0,7 of 20,35%,37 of 54,0 of 0,,0.0,0.0,3:25,6 of 19,1 of 1,0 of 0,4 of 15,0 of 0,3 of 5,2,35.0,,205,7,20,37,54,0,0,6,19,1,1,0,0,4,15,0,0,3,5
UFC Fight Night: Allen vs. Costa,Tuco Tokkos vs. Ivan Erslan,Round 3,Ivan Erslan,0.0,5 of 6,83%,39 of 53,2 of 3,66%,0.0,0.0,4:01,5 of 6,0 of 0,0 of 0,4 of 5,0 of 0,1 of 1,3,83.0,66.0,241,5,6,39,53,2,3,5,6,0,0,0,0,4,5,0,0,1,1
UFC Fight Night: Allen vs. Costa,Tommy Gantt vs. Artur Minev,Round 1,Tommy Gantt,0.0,5 of 10,50%,33 of 38,3 of 11,27%,0.0,0.0,3:24,0 of 4,5 of 6,0 of 0,0 of 4,5 of 6,0 of 0,1,50.0,27.0,204,5,10,33,38,3,11,0,4,5,6,0,0,0,4,5,6,0,0
UFC Fight Night: Allen vs. Costa,Tommy Gantt vs. Artur Minev,Round 2,Tommy Gantt,0.0,23 of 28,82%,39 of 46,3 of 6,50%,0.0,0.0,1:51,19 of 23,4 of 5,0 of 0,3 of 6,5 of 6,15 of 16,2,82.0,50.0,111,23,28,39,46,3,6,19,23,4,5,0,0,3,6,5,6,15,16
UFC Fight Night: Allen vs. Costa,Tommy Gantt vs. Artur Minev,Round 1,Artur Minev,0.0,5 of 7,71%,25 of 27,0 of 0,,0.0,0.0,0:23,0 of 2,5 of 5,0 of 0,0 of 1,5 of 6,0 of 0,1,71.0,,23,5,7,25,27,0,0,0,2,5,5,0,0,0,1,5,6,0,0
UFC Fight Night: Allen vs. Costa,Tommy Gantt vs. Artur Minev,Round 2,Artur Minev,0.0,3 of 6,50%,3 of 6,0 of 1,0%,0.0,0.0,0:30,2 of 5,0 of 0,1 of 1,3 of 6,0 of 0,0 of 0,2,50.0,0.0,30,3,6,3,6,0,1,2,5,0,0,1,1,3,6,0,0,0,0
UFC Fight Night: Allen vs. Costa,Ketlen Vieira vs. Jacqueline Cavalcanti,Round 1,Ketlen Vieira,0.0,11 of 47,23%,11 of 47,0 of 0,,0.0,0.0,0:00,9 of 44,1 of 2,1 of 1,11 of 47,0 of 0,0 of 0,1,23.0,,0,11,47,11,47,0,0,9,44,1,2,1,1,11,47,0,0,0,0
UFC Fight Night: Allen vs. Costa,Ketlen Vieira vs. Jacqueline Cavalcanti,Round 2,Ketlen Vieira,0.0,2 of 6,33%,38 of 72,1 of 3,33%,0.0,0.0,4:42,1 of 4,1 of 2,0 of 0,1 of 4,0 of 0,1 of 2,2,33.0,33.0,282,2,6,38,72,1,3,1,4,1,2,0,0,1,4,0,0,1,2
UFC Fight Night: Allen vs. Costa,Ketlen Vieira vs. Jacqueline Cavalcanti,Round 3,Ketlen Vieira,0.0,17 of 39,43%,17 of 39,0 of 1,0%,0.0,0.0,0:00,17 of 38,0 of 1,0 of 0,17 of 39,0 of 0,0 of 0,3,43.0,0.0,0,17,39,17,39,0,1,17,38,0,1,0,0,17,39,0,0,0,0
UFC Fight Night: Allen vs. Costa,Ketlen Vieira vs. Jacqueline Cavalcanti,Round 1,Jacqueline Cavalcanti,0.0,24 of 46,52%,24 of 46,0 of 0,,0.0,0.0,0:00,6 of 23,4 of 8,14 of 15,24 of 46,0 of 0,0 of 0,1,52.0,,0,24,46,24,46,0,0,6,23,4,8,14,15,24,46,0,0,0,0
UFC Fight Night: Allen vs. Costa,Ketlen Vieira vs. Jacqueline Cavalcanti,Round 2,Jacqueline Cavalcanti,0.0,1 of 3,33%,20 of 23,0 of 0,,0.0,0.0,0:00,0 of 1,0 of 1,1 of 1,1 of 3,0 of 0,0 of 0,2,33.0,,0,1,3,20,23,0,0,0,1,0,1,1,1,1,3,0,0,0,0
UFC Fight Night: Allen vs. Costa,Ketlen Vieira vs. Jacqueline Cavalcanti,Round 3,Jacqueline Cavalcanti,0.0,28 of 61,45%,28 of 61,0 of 0,,0.0,0.0,0:00,9 of 38,12 of 16,7 of 7,28 of 61,0 of 0,0 of 0,3,45.0,,0,28,61,28,61,0,0,9,38,12,16,7,7,28,61,0,0,0,0
UFC Fight Night: Allen vs. Costa,Cody Brundage vs. Andre Petroski,Round 1,Cody Brundage,0.0,6 of 10,60%,6 of 10,0 of 0,,0.0,0.0,0:02,3 of 5,2 of 2,1 of 3,6 of 10,0 of 0,0 of 0,1,60.0,,2,6,10,6,10,0,0,3,5,2,2,1,3,6,10,0,0,0,0
UFC Fight Night: Allen vs. Costa,Cody Brundage vs. Andre Petroski,Round 2,Cody Brundage,1.0,37 of 50,74%,38 of 52,0 of 0,,0.0,0.0,0:32,37 of 50,0 of 0,0 of 0,2 of 2,0 of 0,35 of 48,2,74.0,,32,37,50,38,52,0,0,37,50,0,0,0,0,2,2,0,0,35,48
UFC Fight Night: Allen vs. Costa,Cody Brundage vs. Andre Petroski,Round 1,Andre Petroski,0.0,8 of 16,50%,21 of 29,1 of 1,100%,0.0,0.0,1:56,2 of 6,1 of 4,5 of 6,7 of 15,0 of 0,1 of 1,1,50.0,100.0,116,8,16,21,29,1,1,2,6,1,4,5,6,7,15,0,0,1,1
UFC Fight Night: Allen vs. Costa,Cody Brundage vs. Andre Petroski,Round 2,Andre Petroski,0.0,0 of 1,0%,0 of 1,0 of 0,,0.0,0.0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,2,0.0,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
UFC Fight Night: Allen vs. Costa,Alice Ardelean vs. Polyana Viana,Round 1,Alice Ardelean,0.0,41 of 85,48%,44 of 89,0 of 0,,0.0,0.0,0:00,21 of 57,9 of 15,11 of 13,40 of 84,1 of 1,0 of 0,1,48.0,,0,41,85,44,89,0,0,21,57,9,15,11,13,40,84,1,1,0,0
UFC Fight Night: Allen vs. Costa,Alice Ardelean vs. Polyana Viana,Round 2,Alice Ardelean,0.0,5 of 9,55%,36 of 50,1 of 1,100%,1.0,0.0,4:05,1 of 4,1 of 2,3 of 3,5 of 9,0 of 0,0 of 0,2,55.0,100.0,245,5,9,36,50,1,1,1,4,1,2,3,3,5,9,0,0,0,0
UFC Fight Night: Allen vs. Costa,Alice Ardelean vs. Polyana Viana,Round 1,Polyana Viana,0.0,31 of 71,43%,31 of 73,0 of 0,,0.0,0.0,0:13,9 of 43,12 of 18,10 of 10,26 of 62,5 of 9,0 of 0,1,43.0,,13,31,71,31,73,0,0,9,43,12,18,10,10,26,62,5,9,0,0
UFC Fight Night: Allen vs. Costa,Alice Ardelean vs. Polyana Viana,Round 2,Polyana Viana,0.0,3 of 4,75%,49 of 64,0 of 0,,0.0,0.0,0:00,0 of 1,1 of 1,2 of 2,3 of 4,0 of 0,0 of 0,2,75.0,,0,3,4,49,64,0,0,0,1,1,1,2,2,3,4,0,0,0,0
UFC Fight Night: Allen vs. Costa,Daniel Barez vs. Luis Gurule,Round 1,Daniel Barez,0.0,20 of 41,48%,22 of 44,1 of 2,50%,0.0,0.0,0:48,11 of 32,3 of 3,6 of 6,16 of 37,4 of 4,0 of 0,1,48.0,50.0,48,20,41,22,44,1,2,11,32,3,3,6,6,16,37,4,4,0,0
UFC Fight Night: Allen vs. Costa,Daniel Barez vs. Luis Gurule,Round 2,Daniel Barez,0.0,42 of 69,60%,43 of 70,0 of 1,0%,0.0,0.0,0:00,27 of 52,9 of 9,6 of 8,41 of 68,1 of 1,0 of 0,2,60.0,0.0,0,42,69,43,70,0,1,27,52,9,9,6,8,41,68,1,1,0,0
UFC Fight Night: Allen vs. Costa,Daniel Barez vs. Luis Gurule,Round 3,Daniel Barez,0.0,51 of 136,37%,52 of 138,0 of 0,,0.0,0.0,0:00,41 of 124,8 of 10,2 of 2,51 of 136,0 of 0,0 of 0,3,37.0,,0,51,136,52,138,0,0,41,124,8,10,2,2,51,136,0,0,0,0
UFC Fight Night: Allen vs. Costa,Daniel Barez vs. Luis Gurule,Round 1,Luis Gurule,0.0,25 of 55,45%,30 of 62,0 of 1,0%,1.0,1.0,1:21,21 of 50,2 of 2,2 of 3,22 of 50,3 of 5,0 of 0,1,45.0,0.0,81,25,55,30,62,0,1,21,50,2,2,2,3,22,50,3,5,0,0
UFC Fight Night: Allen vs. Costa,Daniel Barez vs. Luis Gurule,Round 2,Luis Gurule,0.0,51 of 107,47%,69 of 125,1 of 3,33%,0.0,0.0,0:44,45 of 99,1 of 3,5 of 5,49 of 103,2 of 4,0 of 0,2,47.0,33.0,44,51,107,69,125,1,3,45,99,1,3,5,5,49,103,2,4,0,0
UFC Fight Night: Allen vs. Costa,Daniel Barez vs. Luis Gurule,Round 3,Luis Gurule,0.0,73 of 137,53%,79 of 148,0 of 1,0%,0.0,0.0,0:21,63 of 124,5 of 8,5 of 5,62 of 125,11 of 12,0 of 0,3,53.0,0.0,21,73,137,79,148,0,1,63,124,5,8,5,5,62,125,11,12,0,0
UFC Fight Night: Allen vs. Costa,Shauna Bannon vs. Nicolle Caliari,Round 1,Shauna Bannon,0.0,2 of 7,28%,82 of 88,0 of 0,,0.0,0.0,0:09,1 of 5,0 of 0,1 of 2,2 of 7,0 of 0,0 of 0,1,28.0,,9,2,7,82,88,0,0,1,5,0,0,1,2,2,7,0,0,0,0
UFC Fight Night: Allen vs. Costa,Shauna Bannon vs. Nicolle Caliari,Round 2,Shauna Bannon,0.0,20 of 28,71%,64 of 76,0 of 0,,0.0,0.0,1:41,13 of 18,7 of 8,0 of 2,10 of 17,1 of 2,9 of 9,2,71.0,,101,20,28,64,76,0,0,13,18,7,8,0,2,10,17,1,2,9,9
UFC Fight Night: Allen vs. Costa,Shauna Bannon vs. Nicolle Caliari,Round 3,Shauna Bannon,0.0,7 of 14,50%,12 of 19,0 of 1,0%,0.0,0.0,0:00,2 of 8,2 of 3,3 of 3,7 of 14,0 of 0,0 of 0,3,50.0,0.0,0,7,14,12,19,0,1,2,8,2,3,3,3,7,14,0,0,0,0
UFC Fight Night: Allen vs. Costa,Shauna Bannon vs. Nicolle Caliari,Round 1,Nicolle Caliari,0.0,6 of 9,66%,25 of 28,2 of 2,100%,0.0,0.0,4:33,5 of 8,1 of 1,0 of 0,4 of 7,0 of 0,2 of 2,1,66.0,100.0,273,6,9,25,28,2,2,5,8,1,1,0,0,4,7,0,0,2,2
UFC Fight Night: Allen vs. Costa,Shauna Bannon vs. Nicolle Caliari,Round 2,Nicolle Caliari,0.0,6 of 14,42%,10 of 18,1 of 6,16%,0.0,0.0,2:35,5 of 13,1 of 1,0 of 0,1 of 9,1 of 1,4 of 4,2,42.0,16.0,155,6,14,10,18,1,6,5,13,1,1,0,0,1,9,1,1,4,4
UFC Fight Night: Allen vs. Costa,Shauna Bannon vs. Nicolle Caliari,Round 3,Nicolle Caliari,0.0,8 of 15,53%,15 of 22,1 of 1,100%,1.0,0.0,2:10,8 of 14,0 of 1,0 of 0,3 of 10,1 of 1,4 of 4,3,53.0,100.0,130,8,15,15,22,1,1,8,14,0,1,0,0,3,10,1,1,4,4
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 1,Khamzat Chimaev,0.0,0 of 3,0%,17 of 23,2 of 2,100%,0.0,0.0,4:47,0 of 0,0 of 2,0 of 1,0 of 3,0 of 0,0 of 0,1,0.0,100.0,287,0,3,17,23,2,2,0,0,0,2,0,1,0,3,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 2,Khamzat Chimaev,0.0,10 of 19,52%,18 of 28,0 of 2,0%,0.0,0.0,0:04,5 of 11,4 of 7,1 of 1,10 of 19,0 of 0,0 of 0,2,52.0,0.0,4,10,19,18,28,0,2,5,11,4,7,1,1,10,19,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 3,Khamzat Chimaev,0.0,29 of 89,32%,29 of 89,0 of 0,,0.0,0.0,0:00,17 of 62,10 of 25,2 of 2,29 of 89,0 of 0,0 of 0,3,32.0,,0,29,89,29,89,0,0,17,62,10,25,2,2,29,89,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 4,Khamzat Chimaev,0.0,37 of 72,51%,45 of 80,1 of 2,50%,0.0,0.0,0:54,20 of 49,11 of 17,6 of 6,37 of 72,0 of 0,0 of 0,4,51.0,50.0,54,37,72,45,80,1,2,20,49,11,17,6,6,37,72,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 5,Khamzat Chimaev,0.0,22 of 57,38%,28 of 63,6 of 7,85%,0.0,0.0,1:31,10 of 41,10 of 14,2 of 2,20 of 54,2 of 3,0 of 0,5,38.0,85.0,91,22,57,28,63,6,7,10,41,10,14,2,2,20,54,2,3,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 1,Sean Strickland,0.0,0 of 0,,12 of 13,0 of 0,,0.0,0.0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1,,,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 2,Sean Strickland,0.0,15 of 38,39%,29 of 57,0 of 0,,0.0,0.0,3:01,15 of 37,0 of 1,0 of 0,12 of 33,0 of 0,3 of 5,2,39.0,,181,15,38,29,57,0,0,15,37,0,1,0,0,12,33,0,0,3,5
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 3,Sean Strickland,0.0,43 of 100,43%,43 of 100,0 of 0,,0.0,0.0,0:00,42 of 98,1 of 2,0 of 0,43 of 100,0 of 0,0 of 0,3,43.0,,0,43,100,43,100,0,0,42,98,1,2,0,0,43,100,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 4,Sean Strickland,0.0,34 of 86,39%,38 of 90,0 of 0,,0.0,0.0,0:00,33 of 84,1 of 2,0 of 0,34 of 86,0 of 0,0 of 0,4,39.0,,0,34,86,38,90,0,0,33,84,1,2,0,0,34,86,0,0,0,0
UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Round 5,Sean Strickland,0.0,31 of 88,35%,38 of 95,0 of 1,0%,0.0,0.0,0:00,28 of 83,3 of 5,0 of 0,30 of 87,1 of 1,0 of 0,5,35.0,0.0,0,31,88,38,95,0,1,28,83,3,5,0,0,30,87,1,1,0,0
UFC 328: Chimaev vs. Strickland,Joshua Van vs. Tatsuro Taira,Round 1,Joshua Van,0.0,7 of 13,53%,21 of 28,0 of 0,,0.0,0.0,0:00,7 of 13,0 of 0,0 of 0,7 of 12,0 of 1,0 of 0,1,53.0,,0,7,13,21,28,0,0,7,13,0,0,0,0,7,12,0,1,0,0
UFC 328: Chimaev vs. Strickland,Joshua Van vs. Tatsuro Taira,Round 2,Joshua Van,1.0,21 of 32,65%,47 of 58,0 of 1,0%,0.0,0.0,0:27,20 of 31,0 of 0,1 of 1,14 of 22,1 of 1,6 of 9,2,65.0,0.0,27,21,32,47,58,0,1,20,31,0,0,1,1,14,22,1,1,6,9
