fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Tom Aaron,,155 lbs.,,,1978-07-13,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,155.0,
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,1978-06-30,2.8,55%,3.15,48%,3.47,57%,50%,1.3,55.0,57.0,185.0,
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,1981-09-02,2.45,44%,2.45,58%,1.23,24%,47%,0.2,44.0,24.0,235.0,76.0
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,1983-07-03,3.29,38%,4.41,57%,0.0,0%,77%,0.0,38.0,0.0,155.0,
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,,1.71,36%,3.11,63%,0.0,0%,33%,0.0,36.0,0.0,145.0,
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,1984-04-27,3.79,31%,3.98,68%,2.13,42%,100%,0.7,31.0,42.0,185.0,
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,1991-11-27,3.8,33%,4.49,56%,0.33,50%,0%,0.0,33.0,50.0,170.0,71.0
David Abbott,"6' 0""",265 lbs.,,Switch,,1.35,30%,3.55,38%,1.07,33%,66%,0.0,30.0,33.0,265.0,
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,1992-12-24,2.05,40%,2.9,55%,0.64,20%,80%,0.0,40.0,20.0,205.0,74.0
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,1977-12-27,3.52,36%,2.85,62%,0.33,20%,81%,0.0,36.0,20.0,180.0,
Scott Adams,"6' 0""",225 lbs.,,Southpaw,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,225.0,
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,1992-01-16,7.09,55%,4.06,34%,0.91,66%,57%,0.0,55.0,66.0,265.0,80.0
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,1988-01-13,3.17,41%,5.93,44%,0.0,0%,0%,0.0,41.0,0.0,185.0,76.0
Sam Adkins,"6' 3""",225 lbs.,,Orthodox,1965-04-26,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,225.0,
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,1989-07-22,3.95,49%,2.63,61%,0.0,0%,82%,0.3,49.0,0.0,185.0,80.0
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,1992-07-29,1.93,23%,3.35,60%,0.0,0%,0%,0.0,23.0,0.0,125.0,65.0
Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,1979-01-13,0.69,11%,4.56,42%,0.0,0%,0%,0.0,11.0,0.0,155.0,
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,1997-04-07,3.7,50%,4.15,47%,1.23,66%,33%,0.6,50.0,66.0,125.0,68.0
Edwin Aguilar,"5' 10""",185 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,185.0,
Fabio Aguiar,"6' 0""",185 lbs.,,,1988-02-10,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,185.0,
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,1982-05-08,4.93,50%,7.19,53%,0.94,25%,50%,0.2,50.0,25.0,115.0,63.0
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,1988-09-07,3.69,37%,4.47,53%,0.19,25%,87%,0.0,37.0,25.0,155.0,73.0
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,1991-11-25,3.35,41%,4.89,46%,0.0,0%,0%,0.0,41.0,0.0,170.0,72.0
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,1974-07-27,0.59,45%,2.58,55%,0.0,0%,8%,0.5,45.0,0.0,135.0,
Mike Aina,"5' 9""",155 lbs.,,Orthodox,,2.87,33%,6.33,59%,0.0,0%,71%,0.0,33.0,0.0,155.0,
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,1991-12-19,1.8,25%,3.97,57%,1.0,40%,87%,0.0,25.0,40.0,170.0,72.0
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,1987-10-12,2.95,35%,2.59,57%,2.63,49%,65%,0.3,35.0,49.0,185.0,73.0
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,1982-05-14,3.27,39%,3.14,60%,0.65,14%,57%,0.0,39.0,14.0,205.0,
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,1975-07-29,3.1,41%,3.62,57%,2.29,67%,92%,1.0,41.0,67.0,170.0,75.0
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,1991-06-07,3.84,65%,6.66,23%,2.06,50%,42%,0.0,65.0,50.0,205.0,75.0
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,1973-07-14,1.36,19%,3.61,53%,0.0,0%,0%,0.0,19.0,0.0,245.0,77.0
Javi Alanis,"5' 6""",135 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,135.0,
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,1991-12-14,2.87,32%,5.82,57%,2.33,35%,100%,0.0,32.0,35.0,135.0,66.0
Brett Albee,,225 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,225.0,
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,1993-10-27,4.06,40%,3.15,58%,2.28,75%,66%,0.8,40.0,75.0,125.0,68.0
Wes Albritton,"5' 10""",188 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,188.0,
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,1986-10-13,3.05,49%,2.82,35%,0.0,0%,50%,6.1,49.0,0.0,135.0,68.0
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,1990-07-14,4.83,47%,5.56,38%,2.27,50%,77%,0.4,47.0,50.0,115.0,63.0
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,1991-03-15,3.98,51%,6.08,52%,1.54,37%,100%,0.0,51.0,37.0,264.0,74.0
Israel Albuquerque,,185 lbs.,,Orthodox,,0.32,13%,3.34,25%,0.0,0%,0%,0.0,13.0,0.0,185.0,
Juan Alcain,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,1982-11-18,1.93,38%,2.63,50%,2.0,68%,81%,0.9,38.0,68.0,185.0,78.0
Alfonso Alcarez,"5' 3""",145 lbs.,,,1970-06-10,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,1980-08-04,2.72,45%,2.79,49%,1.44,62%,60%,0.8,45.0,62.0,135.0,71.0
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,1977-08-25,2.91,54%,6.26,26%,2.57,40%,33%,0.0,54.0,40.0,250.0,
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,1988-08-17,3.59,38%,5.08,59%,0.93,100%,0%,0.0,38.0,100.0,170.0,72.0
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,1988-03-26,5.52,38%,5.97,61%,0.23,50%,84%,0.1,38.0,50.0,135.0,68.0
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,1992-09-29,3.76,41%,4.55,61%,0.8,40%,57%,0.0,41.0,40.0,125.0,67.0
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,1986-09-09,3.45,45%,3.52,61%,0.57,56%,91%,0.1,45.0,56.0,135.0,70.0
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,1977-09-25,0.88,19%,2.2,66%,4.71,26%,0%,0.0,19.0,26.0,155.0,
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,1986-10-14,2.9,40%,4.38,56%,2.26,41%,80%,0.3,40.0,41.0,145.0,71.0
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,1972-03-22,3.06,54%,3.2,52%,1.19,57%,33%,0.0,54.0,57.0,205.0,72.0
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,1979-07-05,2.1,39%,2.91,54%,1.85,38%,70%,1.2,39.0,38.0,155.0,72.0
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,1989-05-05,1.61,45%,2.89,42%,0.35,20%,66%,0.7,45.0,20.0,185.0,75.0
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,1974-08-06,1.65,38%,4.77,53%,0.37,7%,22%,0.7,38.0,7.0,170.0,
Pablo Alfonso,"5' 8""",145 lbs.,,,1983-05-09,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Levi Alford,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,1989-06-09,6.8,56%,5.31,38%,0.67,33%,62%,0.0,56.0,33.0,145.0,73.0
Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,199.0,
Amir Aliakbari,"6' 3""",250 lbs.,,,1984-06-10,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,250.0,
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,1984-09-17,1.41,45%,2.2,56%,1.76,38%,100%,0.0,45.0,38.0,170.0,74.0
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,1993-02-22,2.95,43%,4.01,52%,1.94,71%,50%,1.2,43.0,71.0,205.0,75.0
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,1994-01-22,3.19,41%,2.0,67%,1.36,52%,76%,0.5,41.0,52.0,145.0,70.0
George Allen,"6' 2""",205 lbs.,,Open Stance,1967-01-13,0.8,38%,3.1,43%,0.0,0%,50%,0.0,38.0,0.0,205.0,
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,1981-02-19,1.28,49%,1.9,59%,0.62,50%,26%,0.0,49.0,50.0,170.0,76.0
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,1995-12-28,3.55,59%,4.57,39%,1.17,37%,50%,2.0,59.0,37.0,185.0,75.0
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,1976-11-29,2.02,49%,1.2,61%,3.74,38%,31%,1.2,49.0,38.0,170.0,74.0
Magno Almeida,"6' 0""",155 lbs.,,,1985-06-06,1.67,36%,2.6,41%,0.0,0%,40%,5.0,36.0,0.0,155.0,
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,1991-07-31,5.39,44%,4.69,64%,0.0,0%,75%,0.0,44.0,0.0,145.0,70.0
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,1989-03-05,1.07,39%,3.33,43%,0.5,33%,37%,0.0,39.0,33.0,115.0,
Mauricio Alonso,"6' 2""",170 lbs.,,,1980-02-27,5.74,34%,1.91,67%,0.0,0%,0%,0.0,34.0,0.0,170.0,
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,1988-10-17,3.13,37%,6.07,42%,0.0,0%,0%,0.0,37.0,0.0,125.0,
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,1991-06-01,2.11,54%,4.76,32%,2.69,28%,50%,0.7,54.0,28.0,135.0,63.0
Rico Altamirano,"5' 10""",170 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,1990-09-23,2.43,42%,1.97,56%,3.5,29%,60%,1.0,42.0,29.0,135.0,68.0
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1.56,20%,2.08,75%,0.0,0%,0%,0.0,20.0,0.0,185.0,
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,1971-07-14,0.89,37%,3.25,47%,0.0,0%,0%,0.0,37.0,0.0,235.0,
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,1988-03-08,2.73,40%,4.53,56%,1.0,33%,50%,0.0,40.0,33.0,125.0,69.0
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,1994-03-02,2.84,37%,3.31,53%,0.0,0%,0%,1.6,37.0,0.0,155.0,77.0
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,1984-01-11,4.32,41%,4.39,55%,2.92,36%,92%,0.5,41.0,36.0,155.0,69.0
Anthony Alves,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,1988-08-08,0.5,46%,2.02,30%,0.0,0%,53%,0.0,46.0,0.0,170.0,
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,1983-10-03,3.73,41%,3.42,62%,0.71,60%,63%,0.3,41.0,60.0,170.0,70.0
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,1990-10-10,2.02,45%,3.66,59%,0.0,0%,100%,1.9,45.0,0.0,145.0,68.0
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,1991-01-04,3.09,47%,3.62,50%,1.48,54%,75%,1.0,47.0,54.0,170.0,72.0
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2.27,24%,5.91,63%,0.0,0%,20%,0.0,24.0,0.0,154.0,
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,1987-07-11,5.53,35%,24.47,33%,0.0,0%,100%,0.0,35.0,0.0,115.0,
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,1986-10-30,3.29,47%,0.82,78%,5.84,56%,100%,0.0,47.0,56.0,170.0,76.0
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,1986-05-06,3.17,44%,3.26,55%,0.08,16%,82%,0.1,44.0,16.0,205.0,75.0
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,1970-01-26,0.83,29%,3.76,40%,3.13,57%,100%,0.8,29.0,57.0,315.0,
Chris Amarante,,185 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,185.0,
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3.16,69%,6.32,33%,0.0,0%,50%,0.0,69.0,0.0,170.0,
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,1988-04-06,0.52,28%,3.14,37%,0.0,0%,0%,0.0,28.0,0.0,185.0,74.0
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,1988-11-08,1.42,44%,2.63,51%,3.37,37%,57%,1.4,44.0,37.0,145.0,72.0
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,6.75,39%,2.01,83%,0.0,0%,0%,0.0,39.0,0.0,190.0,
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,1987-04-21,3.23,46%,4.15,51%,1.62,35%,80%,0.1,46.0,35.0,185.0,75.0
Andy Anderson,"5' 6""",240 lbs.,,,1974-07-16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,240.0,
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,1985-11-21,1.47,34%,2.67,54%,0.0,0%,25%,1.0,34.0,0.0,185.0,
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,1971-05-29,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,230.0,
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,160.0,
Derek Anderson,"6' 0""",155 lbs.,,,1990-02-02,3.97,37%,3.08,61%,0.34,14%,60%,0.0,37.0,14.0,155.0,
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,1989-09-22,4.43,46%,2.22,59%,4.89,50%,83%,0.0,46.0,50.0,205.0,79.0
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,1990-02-11,1.76,46%,3.35,37%,0.52,25%,53%,0.5,46.0,25.0,145.0,72.0
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,1984-03-08,3.26,42%,2.77,63%,1.93,50%,66%,0.3,42.0,50.0,170.0,75.0
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,1974-05-14,0.2,36%,2.6,53%,0.0,0%,25%,0.8,36.0,0.0,200.0,
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,200.0,
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,1991-09-25,6.38,49%,5.26,53%,3.11,57%,76%,0.4,49.0,57.0,115.0,62.0
Reese Andy,"6' 0""",205 lbs.,,Orthodox,1973-03-31,2.87,50%,3.5,58%,0.67,20%,40%,0.0,50.0,20.0,205.0,
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,1979-11-15,2.21,50%,2.72,46%,2.83,50%,57%,0.4,50.0,50.0,185.0,74.0
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,1991-07-23,4.62,78%,1.86,50%,4.47,50%,60%,1.1,78.0,50.0,205.0,
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,1993-02-20,5.87,55%,3.47,58%,3.0,75%,100%,0.0,55.0,75.0,145.0,71.0
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,1992-06-02,3.41,53%,1.78,65%,1.18,33%,85%,0.0,53.0,33.0,205.0,75.0
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,1967-03-28,0.0,0%,3.13,25%,0.0,0%,0%,0.0,0.0,0.0,205.0,
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,1985-12-03,4.81,47%,3.55,54%,0.29,40%,77%,0.6,47.0,40.0,115.0,64.0
Angelo Antonio,,205 lbs.,,Orthodox,,1.09,50%,7.64,50%,0.0,0%,0%,0.0,50.0,0.0,205.0,
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,1982-02-28,5.73,52%,5.0,69%,0.0,0%,100%,0.0,52.0,0.0,125.0,63.0
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,1987-02-09,2.08,55%,4.21,40%,5.08,36%,0%,1.4,55.0,36.0,205.0,70.0
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,1981-08-05,2.47,42%,2.47,69%,0.65,100%,0%,0.0,42.0,100.0,251.0,
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,1985-12-01,3.23,58%,3.75,45%,1.83,16%,75%,0.0,58.0,16.0,170.0,70.0
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,1983-06-19,1.35,40%,11.5,32%,0.0,0%,33%,0.0,40.0,0.0,255.0,
Aori Qileng,"5' 7""",125 lbs.,,,1993-06-25,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,125.0,
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,1979-10-05,8.79,27%,10.29,39%,0.0,0%,0%,0.0,27.0,0.0,145.0,
Erik Apple,"6' 0""",170 lbs.,,Orthodox,1977-08-26,0.0,0%,0.54,81%,0.0,0%,0%,8.1,0.0,0.0,170.0,
Romie Aram,"5' 10""",170 lbs.,,Orthodox,1977-12-02,1.8,35%,2.83,50%,2.5,62%,83%,0.0,35.0,62.0,170.0,
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,1983-05-09,0.97,58%,1.25,58%,2.54,41%,60%,4.0,58.0,41.0,154.0,
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,1980-12-06,1.52,42%,2.86,49%,0.86,15%,22%,0.6,42.0,15.0,170.0,77.0
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,1988-02-09,2.37,45%,2.66,64%,0.93,47%,41%,0.7,45.0,47.0,135.0,73.0
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,1989-10-27,4.25,36%,2.87,67%,0.58,30%,93%,0.6,36.0,30.0,145.0,70.0
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,1986-11-21,4.97,48%,4.84,60%,2.33,64%,94%,0.2,48.0,64.0,125.0,68.0
Art Arciniega,"5' 8""",145 lbs.,,,1981-10-15,1.53,46%,2.73,51%,0.0,0%,50%,1.0,46.0,0.0,145.0,
Tristan Arenal,,155 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,155.0,
Joey Armstrong,,,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,,
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,1979-02-04,3.48,44%,2.83,57%,0.47,36%,78%,0.3,44.0,36.0,240.0,77.0
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,1983-01-14,2.32,45%,4.01,56%,1.07,100%,33%,0.4,45.0,100.0,155.0,71.0
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,1978-07-17,1.66,48%,1.15,57%,2.41,48%,58%,1.2,48.0,48.0,205.0,
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,1975-05-28,1.56,34%,1.63,56%,3.05,75%,37%,1.0,34.0,75.0,205.0,
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,1991-10-22,4.52,41%,6.38,62%,0.44,18%,57%,0.2,41.0,18.0,145.0,72.0
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,1982-09-01,1.62,47%,2.01,58%,2.12,36%,100%,5.3,47.0,36.0,170.0,72.0
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,1989-07-01,3.08,70%,1.72,44%,1.4,41%,32%,0.3,70.0,41.0,185.0,73.0
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,0.06,10%,2.45,32%,0.0,0%,0%,0.0,10.0,0.0,190.0,
Veta Arteaga,"5' 7""",125 lbs.,,,,3.2,36%,1.92,65%,0.0,0%,40%,0.0,36.0,0.0,125.0,
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,1989-12-27,7.27,61%,6.8,28%,0.0,0%,100%,0.0,61.0,0.0,185.0,73.0
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,1991-01-31,5.37,45%,5.2,56%,7.32,75%,0%,2.4,45.0,75.0,155.0,
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,1994-08-19,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,69.0
Arman Ashimov,"5' 6""",125 lbs.,,,1992-01-14,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,125.0,
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,1992-10-09,3.37,55%,2.65,56%,2.75,28%,64%,0.0,55.0,28.0,125.0,67.0
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,1985-12-24,3.35,39%,5.82,35%,4.41,62%,100%,0.9,39.0,62.0,247.0,74.0
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,1988-05-20,3.03,46%,3.52,52%,0.44,18%,65%,0.7,46.0,18.0,185.0,75.0
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,1984-07-18,3.64,49%,5.66,36%,4.33,55%,0%,0.9,49.0,55.0,170.0,73.0
Ibo Aslan,"6' 3""",205 lbs.,,,1996-04-23,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,205.0,
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,1993-04-11,7.43,66%,3.06,65%,3.54,100%,0%,1.8,66.0,100.0,256.0,78.0
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,1992-05-23,1.27,43%,3.2,36%,2.0,50%,66%,1.0,43.0,50.0,185.0,
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,1981-06-24,3.31,62%,2.06,44%,2.43,24%,66%,0.7,62.0,24.0,145.0,72.0
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,1982-07-19,3.26,40%,2.33,68%,1.48,38%,80%,0.3,40.0,38.0,135.0,66.0
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,0.87,41%,3.14,49%,1.0,33%,0%,0.0,41.0,33.0,230.0,
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,1977-06-16,2.28,47%,2.13,59%,0.74,37%,75%,0.0,47.0,37.0,170.0,72.0
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,1986-04-16,1.17,12%,4.31,41%,0.8,50%,0%,0.0,12.0,50.0,155.0,
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,1989-02-23,2.48,51%,2.97,55%,2.36,33%,70%,0.5,51.0,33.0,155.0,70.0
Jose Augusto,"6' 3""",251 lbs.,,,1992-03-28,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,251.0,
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,1973-08-18,1.42,33%,2.27,59%,1.69,27%,27%,1.3,33.0,27.0,155.0,74.0
David Avellan,"5' 9""",185 lbs.,,Orthodox,,3.33,25%,10.0,57%,0.0,0%,0%,0.0,25.0,0.0,185.0,
Levi Avera,"6' 1""",170 lbs.,,,1982-05-17,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,170.0,
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,1983-06-30,2.34,47%,3.36,43%,2.37,80%,50%,1.8,47.0,80.0,170.0,74.0
Anthony Avila,"5' 7""",145 lbs.,,,1988-12-29,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,1988-05-11,3.1,41%,2.9,54%,0.49,50%,60%,0.0,41.0,50.0,135.0,68.0
Chris Avila,"5' 10""",145 lbs.,,Orthodox,1993-01-16,2.37,30%,4.17,48%,0.0,0%,46%,0.0,30.0,0.0,145.0,
Saad Awad,"5' 11""",155 lbs.,,,1983-06-07,2.13,26%,1.87,60%,0.5,16%,100%,0.5,26.0,16.0,155.0,
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,1986-03-10,3.2,37%,1.27,57%,1.0,100%,25%,0.0,37.0,100.0,185.0,76.0
Javy Ayala,"6' 1""",265 lbs.,,,1988-08-20,0.83,25%,5.0,33%,0.0,0%,0%,0.0,25.0,0.0,265.0,
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,1992-05-31,3.53,37%,3.59,58%,0.0,0%,50%,0.3,37.0,0.0,155.0,73.0
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,1976-06-10,2.16,39%,2.76,57%,1.07,50%,45%,0.3,39.0,50.0,154.0,
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,1990-02-20,8.43,57%,1.76,67%,0.0,0%,100%,0.0,57.0,0.0,155.0,71.0
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,1981-06-25,0.76,45%,1.97,27%,2.28,11%,0%,0.0,45.0,11.0,161.0,
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,1992-03-02,4.17,52%,1.99,62%,2.52,45%,76%,1.4,52.0,45.0,145.0,69.0
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,1989-08-22,1.12,41%,3.65,40%,2.92,80%,72%,2.2,41.0,80.0,145.0,
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,1991-07-11,3.74,71%,4.9,32%,1.75,12%,100%,0.0,71.0,12.0,115.0,
